codigoe;nombre;apellido;correo;telefono;id_grupo
99999;juan;peres;123@123.com;1234;3
123456;juan f;jara;123@123.com;4321;3
23456;juan;dani;123@123.com;1234;3
34567;juan f;peres;123@123.com;2263;3
45678;juan;jara;123@123.com;2263;3
56789;juan f;dani;123@123.com;2263;3
123789;juan;peres;123@123.com;2263;3
79011;juan f;jara;123@123.com;2263;3
90122;juan;dani;123@123.com;2263;3
101233;juan f;peres;123@123.com;2263;3
112344;juan;jara;123@123.com;2263;3
8888;juan f;dani;123@123.com;2263;3
134566;juan;peres;123@123.com;2263;3
145677;juan f;jara;123@123.com;2263;3
156788;juan;dani;123@123.com;2263;3
167899;juan f;peres;123@123.com;2263;3
179010;juan;jara;123@123.com;2263;3
190121;juan f;dani;123@123.com;2263;3
777;juan;peres;123@123.com;2263;3
